component_id,lot_id,N,T_ambient,V_stress,I_leak_0h,I_leak_24h,I_leak_96h,I_leak_168h,Y_spec_I_leak,I_ddq_0h,I_ddq_24h,I_ddq_96h,I_ddq_168h,Y_spec_I_ddq,t_pd_0h,t_pd_24h,t_pd_96h,t_pd_168h,Y_spec_t_pd,is_defect,defect_case,defect_param
C0001,4,49,125.0,3.3,10.117638055794131,10.292503786078225,10.821771383316966,11.407025528778325,50.0,1.9621960708268524,2.0003473423282534,2.119859054104531,2.245347089112306,10.0,7.906859713553766,8.093556317805316,8.6428589194239,9.310040078100904,40.0,False,,
C0002,2,53,125.0,5.0,9.28813278230047,9.366873035586176,9.605076317605183,9.853532254758738,50.0,2.0324089222320048,2.0731652829673832,2.193543143911298,2.335451949106192,10.0,8.766173876629145,9.058805953985457,10.000152875723586,11.031541785694582,40.0,False,,
C0003,4,49,125.0,3.3,10.223161073771532,10.669179193705721,12.127420238581761,13.784970612353098,50.0,1.920119425510702,2.0833161644591436,2.660945687613985,3.3987313463147304,10.0,7.63722520596164,8.347500487723329,10.899812336366177,14.23251297112569,40.0,True,compound,
C0004,2,53,125.0,5.0,9.596700547846314,9.798426196864503,10.394044159877826,11.101013223777795,50.0,1.9648475264856706,2.0278685378183257,2.2167819510932216,2.4507863557418164,10.0,8.001723056937264,8.198246349994278,8.7755945236852,9.482997875428063,40.0,False,,
C0005,5,49,125.0,3.3,9.358682674869739,9.553248631678347,10.188590965477925,10.808594754102819,50.0,2.0248933910396656,2.058725119510406,2.17734325203655,2.273922022256165,10.0,8.005954350083039,8.059462565489223,8.155429416792806,8.388106200672393,40.0,False,,
C0006,7,45,125.0,3.3,10.3569100682412,10.681462537252063,11.88816464218547,12.8538675489541,50.0,2.084630406230773,2.121862882063379,2.2495208414682732,2.3596457161843643,10.0,8.160976301337408,8.215823569599397,8.367556677590548,8.552735293977886,40.0,False,,
C0007,4,49,125.0,5.0,10.120822260838375,10.286675168459569,10.704756383729238,11.340452760753495,50.0,2.0319094834023574,2.0860454913533846,2.26332794666569,2.442532109494191,10.0,7.828210941642199,8.026519253546228,8.676625785384747,9.326434484764665,40.0,False,,
C0008,4,49,125.0,5.0,9.693011599303551,9.920994573475026,10.654857995658016,11.40601898024908,50.0,2.1259114849334737,2.1559891261879,2.2709748353043318,2.345605082832823,10.0,8.125898522235834,8.17908487661651,8.311771917736193,8.505593797349498,40.0,False,,
C0009,2,53,125.0,3.3,10.725589424510533,10.834065124013147,11.12367741419387,11.508350591666801,50.0,1.9905034689407328,2.0420304409594587,2.202667251728398,2.38044335073258,10.0,7.9324629659188135,8.073219204827597,8.61791610243537,8.971785738764614,40.0,False,,
C0010,1,121,125.0,5.0,9.77967378921513,10.01930682580859,10.805120309030206,11.58557312305934,50.0,1.9667831470160995,2.00438987997771,2.153740424198718,2.245621408593109,10.0,7.36721899302484,7.536970802324134,8.105794489339411,8.640847737331738,40.0,False,,
C0011,3,52,125.0,5.0,10.016053836985467,10.21668626778532,10.84554461372877,11.507752160056535,50.0,2.2703985107279387,2.2937972700705025,2.362759354751845,2.439341819626769,10.0,8.00382091450274,8.072846346669829,8.337537089615411,8.499681046601488,40.0,False,,
C0012,2,53,125.0,3.3,10.1344567238393,10.261156350038066,10.691410539177994,11.055319551391284,50.0,2.0394237649442033,2.060698284928909,2.128575227345246,2.193087770509965,10.0,7.559773866787939,7.633537427843485,7.89042447249729,8.091481519124315,40.0,False,,
C0013,1,121,125.0,5.0,9.690167032935694,9.861118114486958,10.453361300138722,10.95205322757946,50.0,1.9280518454021451,1.994512924203068,2.203569089470243,2.44425063273961,10.0,7.30624569502044,7.445493892692756,7.9523621816120045,8.338519455923018,40.0,False,,
C0014,5,49,125.0,5.0,10.235568146699965,10.421428075589706,11.010086125026964,11.609644578211032,50.0,1.9305736237751931,1.9661652644324374,2.0807922184865983,2.193925746209622,10.0,8.054749328275754,8.256412082992473,8.857211817089006,9.57695285457614,40.0,False,,
